input_size,insertion_sort_min,insertion_sort_max,insertion_sort_avg,insertion_sort_stddev,insertion_sort_percentile_90,merge_sort_min,merge_sort_max,merge_sort_avg,merge_sort_stddev,merge_sort_percentile_90
0,0,0,0,0.0,0.0,0,0,0,0.0,0.0
100,1,1,1,0.0,1.0,0,0,0,0.0,0.0
200,4,4,4,0.0,4.0,0,0,0,0.0,0.0
300,11,11,11,0.0,11.0,0,0,0,0.0,0.0
400,19,19,20,0.5477225575051661,20.0,1,1,1,0.0,1.0
500,31,31,32,0.5477225575051661,32.0,1,1,1,0.0,1.0
600,44,44,45,0.4472135954999579,45.0,2,2,2,0.0,2.0
700,61,61,61,0.0,61.0,2,2,2,0.0,2.0
800,80,80,83,1.3416407864998738,81.8,2,2,2,0.0,2.0
900,100,100,101,0.5477225575051661,101.0,3,3,4,0.4472135954999579,3.6
1000,125,125,126,0.4472135954999579,126.0,4,4,4,0.0,4.0
1100,154,153,155,0.8366600265340756,155.0,5,5,5,0.0,5.0
1200,181,181,183,0.8366600265340756,182.6,6,6,6,0.0,6.0
1300,214,214,215,0.5477225575051661,215.0,6,6,7,0.4472135954999579,6.6000000000000005
1400,246,245,247,0.7071067811865476,246.6,7,7,7,0.0,7.0
1500,283,283,285,0.8944271909999159,284.6,8,8,9,0.4472135954999579,8.6
1600,323,323,324,0.4472135954999579,323.6,9,9,10,0.4472135954999579,9.6
1700,365,365,366,0.5477225575051662,366.0,10,10,10,0.0,10.0
1800,407,406,409,1.1401754250991378,408.6,10,10,11,0.4472135954999579,10.600000000000001
1900,458,457,459,0.8366600265340756,459.0,11,11,12,0.5477225575051662,12.0
2000,507,505,510,1.9235384061671346,509.20000000000005,13,13,14,0.4472135954999579,13.600000000000001
2100,559,557,560,1.224744871391589,560.0,14,14,15,0.4472135954999579,15.0
2200,610,608,613,1.7888543819998317,612.2,14,14,15,0.4472135954999579,15.0
2300,669,667,673,2.1908902300206647,671.8,16,16,17,0.5477225575051661,17.0
2400,730,726,735,3.3166247903554,733.4,18,18,19,0.4472135954999579,18.6
2500,735,697,790,43.35666038799575,783.5999999999999,19,19,20,0.5477225575051661,20.0
2600,749,735,761,9.959919678390985,757.8,19,19,23,1.7888543819998315,21.4
2700,806,800,819,8.677557259966655,816.2,23,23,23,0.0,23.0
2800,869,864,878,5.263078946776307,874.4,23,23,24,0.4472135954999579,24.0
2900,937,932,945,5.176871642217914,943.0,25,25,26,0.4472135954999579,26.0
3000,1008,990,1035,18.471599822430107,1028.2,26,25,27,0.8366600265340756,27.0
3100,1070,1046,1094,20.07984063681781,1089.2,28,27,30,1.3416407864998738,30.0
3200,1137,1129,1151,8.378544026261364,1145.8,29,28,31,1.3038404810405297,31.0
3300,1210,1193,1220,10.644247272588137,1218.8,31,30,32,0.8366600265340756,32.0
3400,1295,1287,1305,7.12039324756716,1303.0,33,32,34,0.7071067811865476,33.6
3500,1359,1341,1375,12.755391017134675,1371.8,36,35,37,0.8366600265340756,37.0
3600,1448,1426,1469,16.30030674557997,1465.0,37,37,38,0.5477225575051661,38.0
3700,1547,1514,1563,20.255863348670182,1562.6,42,41,43,0.7071067811865476,42.6
3800,1601,1581,1623,16.36459593146131,1618.6,42,41,43,0.8944271909999159,43.0
3900,1682,1669,1696,9.96493853468249,1691.6,44,43,45,0.7071067811865476,44.599999999999994
4000,1789,1757,1826,26.23547217032695,1814.8,43,42,45,1.140175425099138,44.599999999999994
4100,1914,1871,1969,35.96943146617694,1950.6,46,44,48,1.5811388300841898,47.6
4200,1976,1956,1994,13.546217184144066,1988.0,51,50,53,1.3416407864998738,52.6
4300,2066,2052,2084,14.028542333400146,2081.6,50,50,51,0.5477225575051661,51.0
4400,2164,2147,2207,24.454038521274967,2187.4,53,52,54,0.8944271909999159,54.0
4500,2276,2240,2333,34.521008096520006,2311.0,58,57,60,1.140175425099138,59.6
4600,2375,2361,2418,24.035390573069538,2397.6,62,61,64,1.3416407864998738,63.6
4700,2467,2442,2499,22.645087767549057,2491.4,64,64,65,0.5477225575051661,65.0
4800,2607,2564,2654,39.931190816202815,2644.8,63,62,65,1.1401754250991378,64.6
4900,2684,2668,2704,14.007141035914502,2698.0,69,68,70,0.8944271909999159,70.0
